Nome;Tel;Consultoras;
carlos;11942348896;felipe
silva;11923451232;felipe
mariana;987654321;felipe
santos;123456789;felipe
lucas;987123654;felipe
rodrigues;654321987;felipe
ana;456789123;felipe
pereira;321654987;felipe
laura;789456123;felipe
oliveira;987654321;felipe
pedro;123456789;felipe
almeida;123123123;felipe
julia;456789012;felipe
costa;789456123;felipe
camila;456123789;felipe
martins;987654321;felipe
anderson;123456789;felipe
beatriz;456789123;felipe
fernando;789123456;felipe
roberta;987654321;felipe
